"query","frequency"
"aksudintes",1
"akunna",1
"akvfc",3
"akwesasne",1
"al",146
"ala",41
"alabam",1
"alabama",183
"alabamahomestor",1
"alabamas",1
"alabamastatetaxgov",1
"alabamatheater",1
"alabamatheatr",1
"alabamatheatre",1
"alabamgoogl",1
"alabet",1
"alacatraz",1
"alace",2
"alachol",1
"alachua",18
"alacranes",14
"aladdin",15
"aladdinlightliftin",1
"aladin",6
"alahram",2
"alai",7
"alaiciakey",1
"alain",4
"alam",1
"alamance",2
"alamdo",2
"alameda",6
"alamitos",11
"alamo",32
"alamoana",2
"alamocarrenta",2
"alamodome",1
"alan",26
"alanbloc",1
"alanblock",1
"alandjay",1
"alanine",5
"alanis",7
"alanjayford",2
"alantic",2
"alarm",15
"alarmpany",4
"alarms",2
"alas",2
"alask",1
"alaska",83
"alaskaai",1
"alaskaair",3
"alaskaairline",2
"alaskaflyfishnet",1
"alaskan",6
"alaskapromotion",1
"alaskas",3
"alaskatravep",1
"alaskey",1
"alawar",2
"alaya",3
"alazing",1
"alba",24
"albamacjailhous",1
"albams",1
"albani",1
"albania",12
"albanian",10
"albany",23
"albartk",3
"albatross",2
"albayanae",2
"albemarle",5
"albercromie",1
"albergotoncordeit",1
"alberni",1
"albert",35
"albertkessle",1
"alberto",3
"albertson",4
"albertsons",2
"albgo",1
"albightedu",1
"albino",14
"albinoblackshe",1
"albinoblackshee",7
"albinoblacksheep",7
"albinoblacksheepcoyaho",1
"albion",1
"albizu",1
"albo",1
"albrecht",3
"album",65
"albums",26
"albumsphotopoin",2
"albuquerque",53
"albuquerquegov",2
"albuquerquejo",1
"albuteral",3
"alc",1
"alcan",3
"alcanaluminio",1
"alcanaluminiodobrasi",2
"alcanaluminiodobrazi",1
"alcatraz",1
"alcfixture",2
"alcfixturebrowser",1
"alchemist",21
"alchlol",1
"alchohol",1
"alcholic",1
"alco",5
"alcohol",76
"alcoholanonymous",1
"alcoholic",6
"alcoholics",14
"alcoholism",13
"alcon",1
"alcongaske",1
"alcorn",3
"alcorngaske",1
"alcovamortgag",1
"ald",2
"aldara",2
"aldean",1
"alden",1
"alderah",2
"alderwood",3
"aldi",2
"aldifi",1
"aldila",2
"aldinoblac",1
"aldis",1
"aldo",4
"aldoorfeeihrc",1
"aldoshoes",1
"aldosshoes",1
"aldrich",2
"ale",1
"alea",5
"aleander",1
